Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,8734,106304817,204,5817
justinbieber,Justin Bieber,30648,103305008,315534,3449
BarackObama,Barack Obama,15479,96802084,626652,10
Taylorswift13,Taylor Swift,60,85618965,0,102
rihanna,Rihanna,10033,82222632,1131,1023
youtube,YouTube,21121,70416113,1029,1674
theellenshow,Ellen DeGeneres,15304,75384456,35985,576
ladygaga,Lady Gaga,8587,73554610,128607,1685
twitter,Twitter,6270,62114277,170,5210
jtimberlake,Justin Timberlake,3691,63542767,254,48
britneyspears,Britney Spears,5322,55994471,389444,2461
cristiano,Cristiano Ronaldo,3041,63717297,96,0
kimkardashian,Kim Kardashian West,24888,56998156,127,1
selenagomez,Selena Gomez,4331,54523581,1263,167
cnnbrk,CNN Breaking News,58803,53435098,120,18
jimmyfallon,jimmy fallon,10220,49689768,7753,49
arianagrande,Ariana Grande,40402,55229965,65185,32624
shakira,Shakira,5233,49175319,209,1232
ddlovato,Demi Lovato,16468,51593970,548,1892
jlo,Jennifer Lopez,12307,44036252,1734,6586
instagram,Instagram,11272,39445016,4,152
oprah,Oprah Winfrey,12328,39856327,288,149
drake,Drizzy,1712,36427208,634,11
kingjames,LeBron James,5553,39527151,176,83
nytimes,The New York Times,299019,40149962,885,15799
billgates,Bill Gates,2514,40926463,184,33
cnn,CNN,157406,38409415,1115,1478
kevinhart4real,Kevin Hart,34752,34983802,555,83
mileycyrus,Miley Ray Cyrus,9001,37659438,376,202
onedirection,One Direction,9908,31787971,3920,303
sportscenter,SportsCenter,99894,35104905,1661,1158
espn,ESPN,92467,33760613,285,95
bbcbreaking,BBC Breaking News,33420,35821570,3,0
harry_styles,Harry Styles.,5395,31334959,2045,76
pink,P!nk,6736,31120003,447,405
liltunechi,Lil Wayne WEEZY F,1739,32077051,48,13
wizkhalifa,Wiz Khalifa,43663,32505440,835,51
niallofficial,Niall Horan,12299,36142120,5974,362
brunomars,Bruno Mars,4063,37300079,109,177
adele,Adele,298,28827298,157,0
narendramodi,Narendra Modi,17248,36697989,1855,0
neymarjr,Neymar Jr,41083,34961753,747,809
kanyewest,,,,,
kaka,Kaka,4788,28819415,354,75
actuallynph,Neil Patrick Harris,2779,27608803,117,176
realdonaldtrump,Donald J. Trump,36377,42652157,45,23
danieltosh,daniel tosh,13618,27517897,131,2
srbachchan,Amitabh Bachchan,59829,31074672,1157,60
aliciakeys,Alicia Keys,7284,29401243,689,219
nba,NBA,177566,26840413,1671,246
