,FB,FB,FB,FB,FB,TWTR,TWTR,TWTR,TWTR,TWTR
,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,
2020-01-15 00:00:00-05:00,220.61,221.68,220.14,221.21,8175151,32.99,33.68,32.95,33.24,9092706.0
2020-01-16 00:00:00-05:00,222.57,222.63,220.39,221.86,8272426,33.5,34.27,33.03,34.195,16380752.0
2020-01-17 00:00:00-05:00,221.93,222.29,220.53,222.13,12680623,33.8197,34.39,33.58,34.21,17192196.0
2020-01-21 00:00:00-05:00,222.155,222.37,219.12,221.47,22381418,34.08,34.385,33.87,34.09,19690627.0
2020-01-22 00:00:00-05:00,222.31,222.75,221.28,221.29,21016884,34.29,34.54,33.955,34.03,22849567.0
2020-01-23 00:00:00-05:00,220.75,221.485,219.27,219.67,16366956,33.99,34.36,33.72,33.88,23873871.0
2020-01-24 00:00:00-05:00,220.7,221.78,216.11,217.929,20550870,34.11,34.11,32.97,33.195,22296298.0
2020-01-27 00:00:00-05:00,213.1,216.06,212.5,214.87,10900513,32.31,32.93,32.15,32.785,8871113.0
2020-01-28 00:00:00-05:00,216.15,218.74,213.52,217.79,11092215,33.06,33.66,32.85,33.42,7719670.0
2020-01-29 00:00:00-05:00,221.44,224.2,218.45,223.31,23780844,33.59,33.88,33.2927,33.63,6140960.0
2020-01-30 00:00:00-05:00,206.53,211.43,204.75,209.58,45240148,32.86,33.23,32.39,33.22,10632965.0
2020-01-31 00:00:00-05:00,208.43,208.69,201.06,201.89,28269569,33.11,33.14,32.08,32.47,10758164.0
2020-02-03 00:00:00-05:00,203.44,205.14,202.5,204.19,13665236,32.56,33.24,32.45,33.055,12756795.0
2020-02-04 00:00:00-05:00,206.6165,210.6,205.2025,209.87,16696516,33.75,34.115,33.4,33.975,12060047.0
2020-02-05 00:00:00-05:00,212.51,212.73,208.71,210.23,10735308,34.0,34.16,33.19,33.37,18276577.0
2020-02-06 00:00:00-05:00,210.47,211.19,209.338,210.87,9388014,36.53,39.64,36.42,38.42,77641976.0
2020-02-07 00:00:00-05:00,210.3,212.82,209.93,212.34,10171955,37.63,38.0733,36.84,37.01,26181690.0
2020-02-10 00:00:00-05:00,211.52,213.8,210.66,213.1,8937162,36.63,36.85,35.65,35.95,22448047.0
2020-02-11 00:00:00-05:00,210.19,210.86,206.5102,207.15,23868172,36.12,36.28,35.535,35.645,13203881.0
2020-02-12 00:00:00-05:00,207.85,211.22,207.4,210.755,12022419,36.19,37.02,36.17,36.795,18020565.0
2020-02-13 00:00:00-05:00,209.5235,214.3259,209.18,213.12,13708195,36.43,37.32,36.21,37.15,14542729.0
2020-02-14 00:00:00-05:00,214.0,214.93,212.65,214.18,8864827,37.0,37.35,36.58,36.91,10809633.0
2020-02-18 00:00:00-05:00,213.55,217.975,213.4,217.76,14599279,36.78,38.07,36.68,38.05,14679390.0
2020-02-19 00:00:00-05:00,217.99,218.32,216.11,217.5,10691678,38.1,38.91,37.935,38.76,12480976.0
2020-02-20 00:00:00-05:00,216.52,218.765,212.945,214.58,11744799,38.76,39.06,37.955,39.04,13574771.0
2020-02-21 00:00:00-05:00,213.48,214.237,208.8305,210.16,12671114,38.67,38.75,38.04,38.3085,13994657.0
2020-02-24 00:00:00-05:00,201.8,203.65,198.17,200.73,20406271,36.5,36.59,35.31,35.89,22443589.0
2020-02-25 00:00:00-05:00,202.47,203.5,195.9537,196.64,18833578,36.18,36.45,34.885,35.2,17663792.0
2020-02-26 00:00:00-05:00,197.19,201.21,195.49,197.18,15234727,35.28,35.82,34.435,34.64,14642081.0
2020-02-27 00:00:00-05:00,191.99,195.88,189.5,189.69,19313106,33.73,34.2,32.47,33.01,23928384.0
2020-02-28 00:00:00-05:00,182.61,192.74,181.82,192.74,28054197,31.86,33.37,31.51,33.2,29066204.0
2020-03-02 00:00:00-05:00,194.1,196.57,188.85,196.54,21795546,36.0,36.86,35.14,35.82,35162445.0
2020-03-03 00:00:00-05:00,196.22,197.24,183.97,185.89,24693345,36.01,36.48,34.41,34.93,21168858.0
2020-03-04 00:00:00-05:00,189.05,191.83,186.39,191.79,20486825,35.76,36.0,34.77,35.99,11054107.0
2020-03-05 00:00:00-05:00,186.78,188.99,183.8901,185.02,21975861,35.03,35.73,34.52,34.97,12075995.0
2020-03-06 00:00:00-05:00,178.33,183.78,176.26,181.11,21916170,33.81,33.99,32.51,33.45,18075319.0
2020-03-09 00:00:00-04:00,169.6,175.0,165.19,168.6,26418975,31.81,35.36,30.62,32.44,37020466.0
2020-03-10 00:00:00-04:00,174.67,178.29,169.5,178.19,42200790,33.9,34.78,33.12,34.32,24889263.0
2020-03-11 00:00:00-04:00,173.86,175.88,167.66,170.22,37010571,33.3,33.4553,30.01,31.2968,25198325.0
2020-03-12 00:00:00-04:00,159.54,166.6,154.34,154.46,39090919,29.08,29.69,26.7,26.76,28670135.0
2020-03-13 00:00:00-04:00,163.16,170.79,157.6,170.62,29428089,28.83,29.41,26.4001,29.285,25921287.0
2020-03-16 00:00:00-04:00,152.32,159.13,143.1,145.96,72152076,26.12,28.35,23.92,24.04,25978212.0
2020-03-17 00:00:00-04:00,150.74,153.94,140.0,149.42,31562530,24.38,25.84,23.18,24.45,25998817.0
2020-03-18 00:00:00-04:00,139.75,148.18,137.1006,147.05,29533901,22.95,23.49,20.0,21.995,24628807.0
2020-03-19 00:00:00-04:00,146.62,159.9294,144.8,153.03,70865214,22.11,25.17,20.6558,24.13,25547288.0
2020-03-20 00:00:00-04:00,156.02,159.27,148.0,149.73,30645720,24.87,25.8638,23.7,23.945,25989075.0
2020-03-23 00:00:00-04:00,149.66,152.31,142.25,147.8,26881306,23.8,25.25,23.5,24.68,19113456.0
2020-03-24 00:00:00-04:00,155.205,161.31,152.57,161.22,25999531,25.79,26.46,24.13,25.85,30889576.0
2020-03-25 00:00:00-04:00,158.92,162.99,153.06,156.16,62557455,25.85,27.46,24.52,25.98,23763942.0
2020-03-26 00:00:00-04:00,158.35,164.0,157.0201,163.35,23443636,26.15,27.03,25.625,26.39,16583770.0
