Name,Type,PlaceId,IataCode,SkyscannerCode,CityName,CityId,CountryName
Bangkok Suvarnabhumi,Station,42795,BKK,BKK,Bangkok,BKKT,Thailand
Chicago O'Hare International,Station,73076,ORD,ORD,Chicago,CHIA,United States
Paris Charles de Gaulle,Station,44759,CDG,CDG,Paris,PARI,France
Chicago O'Hare International,Station,73076,ORD,ORD,Chicago,CHIA,United States
New York John F. Kennedy,Station,60987,JFK,JFK,New York,NYCA,United States
Chicago O'Hare International,Station,73076,ORD,ORD,Chicago,CHIA,United States
Las Vegas Mccarran,Station,65363,LAS,LAS,Las Vegas,LASA,United States
Chicago O'Hare International,Station,73076,ORD,ORD,Chicago,CHIA,United States
Los Angeles International,Station,65368,LAX,LAX,Los Angeles,LAXA,United States
Chicago O'Hare International,Station,73076,ORD,ORD,Chicago,CHIA,United States
Orlando International,Station,67759,MCO,MCO,Orlando,ORLB,United States
Chicago O'Hare International,Station,73076,ORD,ORD,Chicago,CHIA,United States
Brussels International,Station,43141,BRU,BRU,Brussels,BRUS,Belgium
Chicago O'Hare International,Station,73076,ORD,ORD,Chicago,CHIA,United States
Frankfurt am Main,Station,52337,FRA,FRA,Frankfurt,FRAN,Germany
Chicago O'Hare International,Station,73076,ORD,ORD,Chicago,CHIA,United States
Stockholm Arlanda,Station,40830,ARN,ARN,Stockholm,STOC,Sweden
Chicago O'Hare International,Station,73076,ORD,ORD,Chicago,CHIA,United States
Managua,Station,67937,MGA,MGA,Managua,MGAA,Nicaragua
Chicago O'Hare International,Station,73076,ORD,ORD,Chicago,CHIA,United States
Albuquerque,Station,40065,ABQ,ABQ,Albuquerque,ABQA,United States
Chicago O'Hare International,Station,73076,ORD,ORD,Chicago,CHIA,United States
Washington Ronald Reagan,Station,47009,DCA,DCA,Washington,WASA,United States
Chicago O'Hare International,Station,73076,ORD,ORD,Chicago,CHIA,United States
